37	0	0	0	1	1	2	1	1	33	0	0	0	0	0	4	0	0	0	1	0	1	1	1	1.2	1	1.2	1	1	2.5
38	5	11	13	1	1	1	1	1	26	0	0	0	0	1	6	0	0	0	0	0	1	1	1	1.8	2.25	3.2	2.66666666666667	3.5	1.5
39	20	7	7	2	1	1	1	1	25	0	0	0	0	0	5	0	0	0	1	0	2	1	1.5	1.8	1.75	2.4	4	4	3
40	6	4	5	1	1	1	1	1	30	0	0	0	0	0	5	0	0	0	1	1	1	1	1	3	2.5	3	3.33333333333333	3	3
41	29	22	14	2	1	1	1	1	24	0	0	0	1	0	2	0	1	0	1	0	4	3.5	3	2.6	3.25	3.2	2.66666666666667	1	4
42	0	0	0	1	2	1	1	1	18	0	0	0	1	0	5	0	0	0	0	0	1	1.5	1	2.2	2	1.6	3	4	5
43	2	9	5	1	1	1	1	1	28	0	0	0	1	0	3	0	0	0	0	0	1	1	1	2.4	2.75	3.6	3.33333333333333	3.5	3
44	0	0	0	1	1	1	1	1	28	0	1	0	0	0	6	0	0	1	0	0	1	1	1	1	1	1	1	1	1
45	20	21	19	1	2	1	1	1	28	0	0	0	1	0	1	0	0	1	1	0	2	1	2	1	1.75	1.2	4.33333333333333	5	4
46	0	1	0	2	1	1	1	1	46	0	0	0	0	0	6	0	0	0	0	0	1	1	1	1.8	2	3	2	3	3.5
47	0	3	2	1	1	1	1	1	29	0	1	0	0	1	6	0	0	0	0	0	1	1	1	2.2	3.25	3.4	2.66666666666667	2	2
48	0	0	0	2	1	2	1	1	45	0	0	0	0	0	8	0	0	0	1	0	1	1.5	1	1.4	1.75	1.2	4.66666666666667	4	4
49	7	7	6	1	2	2	1	1	26	0	1	0	0	0	4	0	0	0	1	0	1	1.5	2	2	2	2	3.33333333333333	3.5	4
50	1	2	0	2	2	1	1	1	20	0	0	0	0	0	8	0	0	1	1	0	1	1	1	1.4	1	1.6	4	4	3.5
51	4	12	21	2	1	1	1	2	20	0	0	0	0	1	7	1	0	0	1	0	2	3.5	2	3.2	3.5	3.4	2	2	2.5
52	6	3	0	2	1	1	1	1	36	0	0	0	0	0	7	0	0	0	1	0	1	1	1	1	1	2	3.66666666666667	3	2
53	10	13	12	2	2	2	2	2	21	1	0	0	0	0	6	1	0	0	1	0	1	2	1	3	2.75	3.2	3	3	2
54	3	6	3	2	2	1	1	1	18	0	0	0	0	0	5	1	0	0	1	0	1	1	1	3	3.25	3.6	3.33333333333333	3.5	2.5
55	7	6	2	1	1	1	1	1	47	0	0	0	1	0	5	0	1	0	1	1	1	1	1	2	2.25	2.4	3	3.5	3
56	0	0	2	1	1	1	1	1	23	0	0	0	0	0	7	0	0	0	1	0	1	1	1	2.4	2	2.4	2.66666666666667	2	2
57	9	5	8	1	2	1	1	1	25	0	0	0	0	0	5	0	1	0	1	0	1	1.5	1	2.4	2.75	2.4	3	3.5	2.5
58	2	2	0	1	1	1	1	1	30	0	0	0	0	0	5	0	0	0	0	0	1	1	1	1.4	1	3	3.66666666666667	3.5	3
59	9	7	4	1	2	1	1	1	25	0	0	0	0	1	5	1	0	0	1	0	1	1	1	2.8	3	3.4	2.66666666666667	2.5	2
60	6	7	6	2	1	1	1	1	31	0	1	0	0	1	4	0	0	0	1	0	3	2	3	1.8	1.75	2.6	4	4	3
61	1	5	1	2	1	1	1	1	22	0	0	0	1	0	1	0	0	1	1	0	1	1	1	1.6	1.5	1.8	2.33333333333333	3	2.5
62	6	5	2	2	1	1	1	1	26	0	0	0	0	0	6	0	0	0	1	0	1	1	1	1.2	1.5	2.2	4	4	3
63	0	2	0	2	1	1	1	1	26	0	0	0	0	1	6	1	0	0	1	0	1	1.5	1	2.2	3	3.6	3.33333333333333	4	3
64	5	7	7	2	2	1	1	1	26	0	0	0	0	0	5	0	0	0	1	0	1	1.5	1	1.4	1.5	2.4	3.66666666666667	4	2.5
65	0	0	0	1	1	1	1	1	27	0	0	0	0	0	6	0	1	0	0	0	1	1	1	2	2.25	2.6	3.66666666666667	3	3
66	0	0	0	2	1	1	1	1	33	0	0	0	0	0	5	0	0	0	0	0	1	1	1	1	1	1	1	1	1
67	16	11	7	1	1	1	1	1	33	0	0	0	1	0	4	0	1	0	0	0	1	1.5	1	2.8	3.25	4	3	3	3
68	0	7	4	1	1	1	1	1	30	0	0	0	1	0	2	0	0	1	0	0	1	1	1	2.2	2.25	2.8	3	4	3
69	2	6	3	1	1	1	1	1	30	1	0	0	0	0	5	0	0	0	0	0	2	1	1.5	2.8	3	3	3	3	3
70	0	7	4	2	2	1	1	1	22	0	0	0	0	0	7	1	0	0	1	0	1	1	1	3	3	3	3	3	3
71	6	5	5	2	1	1	1	1	26	0	1	0	0	0	3	0	0	1	1	0	1	1	1	1	2.25	1.2	3	3.5	4
72	0	0	0	1	1	1	1	1	43	0	1	0	0	1	8	0	0	0	0	0	1	1	1	1	2	1.8	3	4.5	4.5
73	1	9	7	1	1	1	1	1	46	0	1	0	0	0	3	0	0	1	1	1	2	2	2	2.8	3.5	3.2	3.33333333333333	4	3.5
74	0	0	0	1	1	1	1	1	47	1	0	1	1	0	6	0	0	0	0	0	1	1	1	1.4	2	3.4	4.33333333333333	4	5
75	5	9	11	1	2	1	1	1	24	0	0	0	0	0	6	0	0	0	0	0	1	1	1	2.2	2.5	3	3.66666666666667	4	3
76	0	0	0	1	1	1	1	1	42	0	0	0	0	0	6	0	0	0	0	1	1	1	1	1.8	1	2.2	2.66666666666667	3.5	1
77	0	0	0	1	1	1	1	1	41	0	0	0	0	0	7	0	0	0	0	0	1	1	1	2	2.5	2.2	5	5	4
78	0	0	0	1	1	1	1	1	28	0	0	0	0	0	7	0	0	0	0	0	1	1	2	2.6	2.5	3.6	3.33333333333333	3	2
79	8	4	4	2	1	1	1	1	21	0	0	0	0	0	2	1	0	0	1	0	1	1	1	1.4	1.25	2	4.66666666666667	5	3.5
80	0	0	0	2	1	1	1	1	18	0	0	0	0	0	7	0	0	0	0	0	1	1	1	1	1	1	2.33333333333333	1	1
81	12	18	13	2	2	2	1	1	24	0	0	0	0	0	5	0	0	1	1	0	2	2	2	2	2	2	4.33333333333333	4.5	3
82	10	6	14	1	1	1	1	1	30	0	0	0	0	0	6	0	0	0	1	0	2	2	2	3	3	3	3	3	3
83	6	6	13	1	1	1	1	1	31	0	1	0	1	0	3	0	1	0	0	0	1	1	1	3	3	3.4	3	3	3
84	16	9	7	2	1	1	1	1	20	0	1	0	1	0	3	0	0	0	0	0	1	1	1	3	3	3	3	3	3
85	8	14	3	2	1	1	1	1	27	0	0	0	0	0	1	0	0	0	1	0	4	4	4	2	3	3	3	2.5	3
86	20	13	10	1	1	1	1	1	22	0	1	0	0	1	3	0	0	0	0	0	3	2.5	2	3.6	4	4.4	3.66666666666667	1.5	1.5
87	2	0	0	1	2	1	1	1	25	0	0	0	0	0	4	0	0	0	1	0	1	1	1	1	1	1	3.33333333333333	4	3
88	0	0	0	1	1	1	1	1	19	0	0	0	0	0	5	1	0	0	0	0	3	3	3	3	3	3	2.66666666666667	3	3
89	23	18	12	1	1	1	1	1	29	0	0	0	0	0	3	0	0	0	1	0	3	1.5	2	2.8	2.5	3.2	3	4	3
90	9	24	21	1	1	1	1	1	24	0	0	0	0	0	2	0	0	0	1	0	1	1.5	1.5	2.4	3.25	3.4	3.66666666666667	3	3
